miner_id,blocks_mined,avg_transactions,avg_volume,avg_fee,fee_volatility,avg_block_size,difficulty,efficiency,profitability,last_block_id,last_block_time,age,label
90,8109,1116.2780860771982,10368.700379347141,18939873.30277297,67315574.98792663,636573.8536194352,7823996042510.113,0.10765843791769168,18937537.929985944,810890,2023-10-06 11:12:03+00:00,146.0,1
91,8109,1119.5617215439636,10727.15160378978,18649628.30052179,49915260.011099,637937.2126032803,7823996042510.113,0.1043671016216766,18647328.71626772,810891,2023-10-06 11:14:47+00:00,164.0,0
92,8109,1117.9754593661364,10008.385719976817,17507506.655406658,43231257.12294833,633749.164385251,7824387789527.706,0.11170387419566942,17505347.899962097,810892,2023-10-06 11:29:57+00:00,910.0,1
93,8109,1120.7463312368973,9849.075331487262,17902997.63234494,42818488.202884465,637021.8752003947,7824387789527.706,0.1137920356496598,17900790.111058585,810893,2023-10-06 11:34:27+00:00,270.0,1
94,8109,1116.4913059563448,10400.0435951712,18990997.09921575,53301999.52758724,637921.9109631274,7824387789527.706,0.1073544832518424,18988655.422631383,810894,2023-10-06 11:34:55+00:00,28.0,1
95,8109,1110.0238007152548,10746.36957408797,18860190.037792683,92517452.24487494,631298.056357134,7824387789527.706,0.10329291143975547,18857864.49031577,810895,2023-10-06 11:46:39+00:00,704.0,0
96,8109,1100.6682698236527,9820.57754832747,17562101.378570445,44221055.2386062,628383.120236774,7824584989140.03,0.11207775351369166,17559935.891347438,810896,2023-10-06 11:51:25+00:00,286.0,1
97,8109,1113.066099395733,10837.65735401809,19010296.144711055,52250425.1788928,633141.0874337156,7824584989140.03,0.10270356988016031,19007952.08846633,810897,2023-10-06 11:51:52+00:00,27.0,0
98,8109,1120.2172894314958,11066.295741644608,18594599.42140219,50432064.26261711,638482.0536440992,7824584989140.03,0.10122784675054369,18592306.62245997,810898,2023-10-06 11:54:01+00:00,129.0,0
99,8109,1123.0594401282526,11095.425625925072,19240698.380913626,64502636.80742444,639058.7875200395,7824584989140.03,0.10121823875814742,19238325.91502202,810899,2023-10-06 11:54:09+00:00,8.0,0
